,Id,LotArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,GarageArea,SalesPricePredicated
0,1461,11622,0,0,1,0,2,730.0,112607
1,1462,14267,0,0,1,1,3,312.0,145551
2,1463,13830,0,0,2,1,3,482.0,224696
3,1464,9978,0,0,2,1,3,470.0,219827
4,1465,5005,0,0,2,0,2,506.0,183941
5,1466,10000,0,0,2,1,3,440.0,219855
6,1467,7980,1,0,2,0,3,420.0,217866
7,1468,8402,0,0,2,1,3,393.0,217835
8,1469,10176,1,0,1,1,2,506.0,184101
9,1470,8400,1,0,1,0,2,525.0,145477
10,1471,5858,1,0,2,0,2,511.0,221961
11,1472,1680,0,0,1,1,2,264.0,136420
12,1473,1680,0,0,1,1,3,320.0,129643
13,1474,2280,0,0,2,1,3,440.0,210098
14,1475,2280,0,0,1,0,2,308.0,100800
15,1476,12858,0,0,2,1,3,751.0,223467
16,1477,12883,0,0,2,0,3,868.0,187120
17,1478,11520,0,0,2,0,3,730.0,185397
18,1479,14122,0,0,2,0,3,678.0,188686
19,1480,14300,1,0,2,1,3,958.0,262232
20,1481,13650,1,0,2,1,3,756.0,261411
21,1482,7132,0,0,2,0,2,484.0,186629
22,1483,18494,0,0,2,0,3,430.0,194211
23,1484,3203,0,0,2,0,2,437.0,181663
24,1485,13300,1,0,2,1,3,400.0,260969
25,1486,8577,0,0,2,1,3,433.0,218056
26,1487,17433,0,0,2,1,4,962.0,222472
27,1488,8987,0,0,2,0,2,880.0,188973
28,1489,9215,0,0,2,0,2,676.0,189261
29,1490,10440,1,0,2,0,2,528.0,227752
30,1491,11920,0,0,2,1,3,484.0,222282
31,1492,9800,0,0,1,0,2,429.0,110304
32,1493,15410,1,0,2,0,3,461.0,227256
33,1494,13143,1,0,2,1,4,762.0,253993
34,1495,11134,1,0,2,1,4,713.0,251453
35,1496,4835,1,0,2,0,2,506.0,220669
36,1497,3515,0,0,2,1,2,588.0,218436
37,1498,3215,0,0,2,1,2,480.0,218057
38,1499,2544,1,0,2,1,2,480.0,254152
39,1500,2544,1,0,2,1,2,480.0,254152
40,1501,2980,1,0,2,1,2,440.0,254703
