Id,LotArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,GarageArea,SalePrice
1,8450,1,0,2,1,3,548,208500
2,9600,0,1,2,0,3,460,181500
3,11250,1,0,2,1,3,608,223500
4,9550,1,0,1,0,3,642,140000
5,14260,1,0,2,1,4,836,250000
6,14115,1,0,1,1,1,480,143000
7,10084,1,0,2,0,3,636,307000
8,10382,1,0,2,1,3,484,200000
9,6120,0,0,2,0,2,468,129900
10,7420,1,0,1,0,2,205,118000
11,11200,1,0,1,0,3,384,129500
12,11924,1,0,3,0,4,736,345000
13,12968,1,0,1,0,2,352,144000
14,10652,0,0,2,0,3,840,279500
15,10920,1,0,1,1,2,352,157000
16,6120,0,0,1,0,2,576,132000
17,11241,1,0,1,0,2,480,149000
18,10791,0,0,2,0,2,516,90000
19,13695,1,0,1,1,3,576,159000
20,7560,0,0,1,0,3,294,139000
21,14215,0,0,3,1,4,853,325300
22,7449,0,0,1,0,3,280,139400
23,9742,0,0,2,0,3,534,230000
24,4224,1,0,1,0,3,572,129900
25,8246,1,0,1,0,3,270,154000
26,14230,0,0,2,0,3,890,256300
27,7200,0,1,1,0,3,576,134800
28,11478,1,0,2,0,3,772,306000
29,16321,1,0,1,0,2,319,207500
30,6324,0,0,1,0,1,240,68500
31,8500,0,0,1,0,3,250,40000
32,8544,0,0,1,1,3,271,149350
33,11049,0,0,2,0,3,484,179900
34,10552,0,1,1,1,4,447,165500
35,7313,1,0,2,0,2,556,277500
36,13418,0,0,3,1,4,691,309000
37,10859,0,0,1,1,3,672,145000
38,8532,0,1,1,0,3,498,153000
39,7922,1,0,1,0,3,246,109000
40,6040,0,0,2,0,2,0,82000
41,8658,0,0,2,0,3,440,160000
42,16905,0,1,1,1,2,308,170000
43,9180,1,0,1,0,2,504,144000
44,9200,1,0,1,0,3,308,130250
45,7945,1,0,1,0,3,300,141000
46,7658,1,0,2,0,2,576,319900
47,12822,1,0,1,1,1,670,239686
48,11096,0,0,2,0,3,826,249700
49,4456,0,0,2,0,2,0,113000
50,7742,1,0,1,0,3,386,127000
51,13869,0,1,2,0,3,388,177000
52,6240,0,0,1,0,3,528,114500
53,8472,1,0,1,0,2,516,110000
54,50271,2,0,0,1,0,894,385000
55,7134,0,0,1,0,3,572,130000
56,10175,0,0,2,0,3,576,180500
57,2645,1,0,2,1,3,480,172500
58,11645,0,0,2,1,3,565,196500
59,13682,0,0,3,1,3,641,438780
60,7200,0,0,1,0,2,352,124900
61,13072,1,0,1,1,3,576,158000
62,7200,0,0,1,0,3,288,101000
63,6442,0,0,2,0,2,484,202500
64,10300,0,0,2,0,3,480,140000
65,9375,1,0,2,1,3,645,219500
66,9591,0,0,2,1,4,852,317000
67,19900,1,0,2,0,3,576,180000
68,10665,1,0,2,0,3,558,226000
69,4608,0,0,1,0,2,220,80000
70,15593,0,0,2,0,3,667,225000
71,13651,1,0,2,0,3,516,244000
72,7599,1,0,1,0,2,360,129500
73,10141,0,0,2,1,3,427,185000
74,10200,1,0,1,0,3,490,144900
75,5790,0,0,2,0,3,379,107400
76,1596,1,0,1,0,2,297,91000
77,8475,0,0,1,0,2,283,135750
78,8635,1,0,1,0,2,240,127000
79,10778,0,0,2,0,4,0,136500
80,10440,0,0,1,1,2,440,110000
81,13000,0,0,2,1,4,509,193500
82,4500,1,0,2,0,2,405,153500
83,10206,0,0,2,0,3,758,245000
84,8892,0,0,1,1,3,461,126500
85,8530,0,0,2,1,3,400,168500
86,16059,0,0,2,1,4,462,260000
87,11911,0,0,2,1,3,400,174000
88,3951,0,0,2,1,2,528,164500
89,8470,0,0,1,0,2,0,85000
90,8070,1,0,1,0,3,0,123600
91,7200,0,0,1,0,2,420,109900
92,8500,0,0,1,0,2,480,98600
93,13360,1,0,1,0,2,432,163500
94,7200,0,1,2,0,4,506,133900
95,9337,1,0,2,1,3,684,204750
96,9765,0,0,2,1,3,420,185000
97,10264,0,0,2,0,3,472,214000
98,10921,1,0,1,0,3,432,94750
99,10625,0,0,1,0,2,366,83000
100,9320,1,0,1,1,3,0,128950
101,10603,1,0,2,0,3,480,205000
102,9206,0,0,2,1,3,476,178000
103,7018,0,0,2,0,4,410,118964
104,10402,0,0,2,0,3,740,198900
105,7758,0,0,1,1,4,240,169500
106,9375,0,0,2,1,3,648,250000
107,10800,0,0,1,0,2,273,100000
108,6000,0,0,1,0,2,250,115000
109,8500,0,0,2,0,3,0,115000
110,11751,0,0,2,0,3,546,190000
111,9525,0,0,2,0,4,325,136900
112,7750,0,0,2,1,3,400,180000
113,9965,1,0,2,1,4,792,383970
114,21000,1,0,2,0,3,450,217000
115,7259,1,0,2,1,3,180,259500
116,3230,0,0,2,1,2,440,176000
117,11616,0,1,1,0,3,288,139000
118,8536,0,0,1,1,2,430,155000
119,12376,1,0,3,0,5,594,320000
120,8461,0,0,2,1,3,390,163990
121,21453,1,0,1,0,1,540,180000
122,6060,0,0,1,0,3,264,100000
123,9464,0,0,1,0,3,288,136000
124,7892,0,0,2,0,2,530,153900
125,17043,0,0,2,0,3,435,181000
126,6780,1,0,1,0,2,0,84500
127,4928,0,0,2,0,2,440,128000
128,4388,0,0,1,0,3,0,87000
129,7590,0,0,1,1,3,453,155000
130,8973,0,1,1,1,3,750,150000
131,14200,0,0,2,1,4,487,226000
132,12224,1,0,2,1,3,390,244000
133,7388,1,0,1,0,3,624,150750
134,6853,1,0,2,0,2,471,220000
135,10335,0,0,2,1,3,440,180000
136,10400,0,0,2,0,3,530,174000
137,10355,0,0,2,0,3,318,143000
138,11070,0,0,3,0,5,766,171000
139,9066,0,0,2,1,3,660,230000
140,15426,1,0,2,1,3,470,231500
141,10500,0,0,1,0,3,0,115000
142,11645,1,0,2,0,3,660,260000
143,8520,0,0,2,0,4,720,166000
144,10335,1,0,2,0,3,577,204000
145,9100,1,0,2,0,6,504,125000
146,2522,0,0,2,0,3,380,130000
147,6120,1,0,1,0,2,180,105000
148,9505,0,0,2,1,3,434,222500
149,7500,1,0,1,0,3,0,141000
150,6240,0,0,1,0,3,240,115000
151,10356,0,0,1,1,3,440,122000
152,13891,1,0,2,0,2,866,372402
153,14803,0,0,2,1,4,495,190000
154,13500,1,0,1,0,1,564,235000
155,11340,0,0,1,0,4,312,125000
156,9600,0,0,1,0,2,0,79000
157,7200,0,0,1,0,2,625,109500
158,12003,0,0,2,1,4,680,269500
159,12552,0,0,2,1,3,678,254900
160,19378,1,0,2,1,4,576,320000
161,11120,0,0,2,0,3,516,162500
162,13688,1,0,2,1,3,726,412500
163,12182,0,0,2,0,3,532,220000
164,5500,0,0,1,0,1,0,103200
165,5400,0,0,2,0,3,216,152000
166,10106,1,0,2,0,4,0,127500
167,10708,1,0,1,0,2,303,190000
168,10562,1,0,1,1,3,789,325624
169,8244,0,0,2,1,3,440,183500
170,16669,0,0,2,1,2,511,228000
171,12358,0,0,1,1,2,660,128500
172,31770,1,0,1,0,3,528,215000
173,5306,1,0,2,0,2,504,239000
174,10197,1,0,1,1,3,504,163000
175,12416,1,0,2,0,3,616,184000
176,12615,1,0,2,0,4,576,243000
177,10029,0,1,2,1,4,521,211000
178,13650,1,0,2,0,4,451,172500
179,17423,1,0,2,0,1,1166,501837
180,8520,0,0,1,0,2,480,100000
181,2117,0,0,2,1,3,440,177000
182,7588,0,0,1,1,4,216,200100
183,9060,0,0,1,0,3,252,120000
184,11426,0,0,2,1,3,484,200000
185,7438,0,0,1,0,3,576,127000
186,22950,0,0,2,1,4,840,475000
187,9947,1,0,2,0,3,497,173000
188,10410,0,0,2,1,3,180,135000
189,7018,2,0,0,2,2,528,153337
190,4923,1,0,1,1,0,682,286000
191,10570,0,0,2,1,3,440,315000
192,7472,1,0,1,1,4,484,184000
193,9017,1,0,2,0,3,666,192000
194,2522,0,0,2,0,3,380,130000
195,7180,0,0,1,0,3,352,127000
196,2280,0,0,2,1,3,440,148500
197,9416,1,0,2,0,3,786,311872
198,25419,1,1,2,0,4,795,235000
199,5520,0,0,1,0,5,0,104000
200,9591,1,0,2,0,3,856,274900
201,8546,0,0,2,0,2,440,140000
202,10125,0,1,2,0,3,473,171500
203,7000,0,0,2,0,2,398,112000
204,4438,1,0,1,0,1,420,149000
205,3500,0,0,1,1,2,240,110000
206,11851,0,0,2,0,3,500,180500
207,13673,0,0,1,1,3,349,143900
208,12493,1,0,1,0,3,312,141000
209,14364,1,0,2,1,3,454,277000
210,8250,1,0,1,0,3,504,145000
211,5604,1,0,1,0,2,0,98000
212,10420,0,0,2,0,3,460,186000
213,8640,1,0,2,1,3,644,252678
214,13568,0,1,1,0,3,576,156000
215,10900,0,0,1,1,3,299,161750
216,10011,0,1,1,0,2,447,134450
217,8450,1,0,2,0,3,484,210000
218,9906,0,0,1,0,3,210,107000
219,15660,0,1,1,1,3,431,311500
220,3010,0,0,2,0,2,438,167240
221,8990,0,0,2,0,2,675,204900
222,8068,0,0,2,1,4,390,200000
223,11475,1,0,2,1,3,434,179900
224,10500,0,0,1,0,2,576,97000
225,13472,0,0,2,0,3,968,386250
226,1680,0,0,2,1,3,280,112000
227,9950,0,0,2,1,4,721,290000
228,1869,0,0,1,1,2,280,106000
229,8521,0,0,1,0,3,336,125000
230,3182,0,0,2,0,2,430,192500
231,8760,1,0,1,0,3,312,148000
232,15138,1,0,2,1,4,810,403000
233,1680,0,0,1,1,2,288,94500
234,10650,1,0,1,0,3,308,128200
235,7851,1,0,2,1,4,440,216500
236,1680,0,0,1,1,2,264,89500
